topic,interviewer_baseline,interviewer_comparison,interviewer_effect,interviewer_se,interviewer_p
1,Adina Conn; Adina Conn,Agnieszka McClure; Agnieszka McClure,-0.0178915367968745,0.0459053968312463,0.696760604876055
1,Adina Conn; Adina Conn,Ann E. Erling Gofus; Ann E. Erling Gofus,-0.00103437129065126,0.0443406602311435,0.981390888897531
1,Adina Conn; Adina Conn,Anthony Young; Anthony Young,-0.0266815200877821,0.0638995765946625,0.676314004591874
1,Adina Conn; Adina Conn,Arwin Donohue; Arwin Donohue,-0.0216856107874433,0.0348942005457943,0.53435644571756
1,Adina Conn; Adina Conn,Chris Johnson; Chris Johnson,0.0443811381781547,0.053737336578968,0.408955906622715
1,Adina Conn; Adina Conn,Dan Collison,-0.0235921594108981,0.0449675756198115,0.599880580405392
1,Adina Conn; Adina Conn,Dan Gedimen; Dan Gedimen,0.0111055146117913,0.037978556733558,0.76999660125559
1,Adina Conn; Adina Conn,Dr. Joan Ringelheim; Dr. Joan Ringelheim,0.00334653895022614,0.0305890552068346,0.91289270974185
1,Adina Conn; Adina Conn,Dr. Radu Ioanid; Dr. Radu Ioanid,-0.0262143152197344,0.0432413912998462,0.544423221033522
1,Adina Conn; Adina Conn,Duncan Little; Duncan Little,-0.0109175552537725,0.0513335971802232,0.831597389674341
1,Adina Conn; Adina Conn,Gail Schwartz; Gail Schwartz,-0.0241571345681617,0.0308499785669825,0.433680875380894
1,Adina Conn; Adina Conn,Holly Snyder; Holly Snyder,0.0431626221831399,0.0597418957830663,0.470073114790529
1,Adina Conn; Adina Conn,Ina Navazelskis; Ina Navazelskis,-0.0180108034866833,0.0298123706161851,0.545813770071698
1,Adina Conn; Adina Conn,Jennifer Clayman,-0.0120858373374058,0.0406283031737988,0.766133226475826
1,Adina Conn; Adina Conn,Judith Goldstein; Judith Goldstein,-0.0184194035720519,0.0461714952738361,0.689980148828848
1,Adina Conn; Adina Conn,Katie Davis,-0.0240428418313065,0.0380821812788759,0.52788315251352
1,Adina Conn; Adina Conn,Katie Davis; Katie Davis,-0.0222486382710067,0.0340343151368161,0.513365695169028
1,Adina Conn; Adina Conn,Linda G. Kuzmack; Linda G. Kuzmack,-0.0112124830409776,0.0299942173835556,0.708573134527393
1,Adina Conn; Adina Conn,Melissa Block; Melissa Block,-0.0153493778392134,0.0381792441554873,0.687697585402121
1,Adina Conn; Adina Conn,Michael Berenbaum; Dr. Joan Ringelheim,-0.0263350259143413,0.0367966043684533,0.474257626818475
1,Adina Conn; Adina Conn,Mira Hodos; Mira Hodos,-0.0270383333881038,0.0371345038995832,0.466618270348467
1,Adina Conn; Adina Conn,Mr. Scott Miller; Mr. Scott Miller,-0.0104659339793626,0.0378085018012703,0.781948692390286
1,Adina Conn; Adina Conn,NULL,0.417234378014214,0.0351756570315223,1.67340367070603e-31
1,Adina Conn; Adina Conn,Peggy Frankston; Peggy Frankston,-0.0075212922977439,0.0662760183239834,0.909656902421083
