topic,gender_difference,female_prevalence,male_prevalence,frex_words
3,-0.0894992130895384,0.0180316957622138,0.107530908851752,"trial, theodore, unrra, international, cases, committee, ort, joint, court, nuremberg, jdc, japanese, evidence, trials, dps"
8,0.0821604554921136,0.138080706605107,0.0559202511129934,"remember, orphanage, irene, sobczak, play, jauary, mom, memories, mean, thomas, buergenthal, child, played, guess, strange"
9,0.080650664455036,0.166855932167159,0.0862052677121225,"school, married, religious, grandmother, carol, father, aunt, cousin, sisters, fathers, gymnasium, son, older, cousins, daughter"
4,-0.0651802469076926,0.0360506254261921,0.101230872333885,"polish, soviet, uprising, poland, communist, poles, union, warsaw, romania, anti, russians, russia, ukraine, russian, stalin"
5,-0.0537575566338493,0.0305069578916183,0.0842645145254677,"suzy, manny, snyder, roll, mandel, gluckstein, fritz, films, wentworth, birkenau, auschwitz, camera, video, bradley, sandra"
1,0.0496739214828918,0.121117966480103,0.0714440449972108,"apartment, buy, door, walked, house, street, sell, room, streets, hiding, coat, creche, bought, kitchen, floor"
2,-0.0474369566510411,0.088501395816613,0.135938352467654,"bread, water, railroad, piece, barrack, barn, soup, train, cattle, barracks, tracks, feet, village, trains, wooden"
12,0.0444462304826263,0.0994785953539897,0.0550323648713633,"ghetto, lithuanian, kovno, luta, wilna, lithuania, interpreter, havier, bunker, judenrat, forest, killed, jay, shot, kill"
7,0.0399426613722096,0.130408085943598,0.090465424571388,"feel, archives, god, experiences, israel, hate, survivors, ushmm, thank, country, conclusion, love, survivor, hope, talk"
10,-0.0387972877345715,0.0518704249684075,0.0906677127029789,"ship, visa, france, ships, kibbutz, shanghai, french, hotel, boat, italy, letter, english, vienna, york, belgium"
6,-0.0156391766467121,0.0317506932068881,0.0473898698536002,"sweden, nesse, godin, norway, rice, heberer, swedish, patricia, oslo, resistance, norwegian, raoul, wallenberg, denmark, stockholm"
11,0.0134365043785278,0.0873469203781119,0.0739104159995841,"bill, benson, memorial, frank, josie, liebermann, museums, oral, verbatim, dora, traum, susan, taped, regina, halina"
