topic,gender_effect,gender_se,gender_p
1,-0.062338433289836,0.00884204097744721,2.38127875227566e-12
2,0.00244150733907672,0.0086068763365944,0.776690436551874
3,-0.0661324614789637,0.00887024012982944,1.27961969808978e-13
4,0.00198604321552589,0.00713708540530552,0.780830547107313
5,-0.0257522367077718,0.00962427086163738,0.00751126316037271
6,-0.0575911365089091,0.0102811688156805,2.38907806692431e-08
7,0.109087963495986,0.00947677109492044,8.12751649340472e-30
8,0.008267041621346,0.00841140734923996,0.325795733844736
9,-0.0176064502612984,0.00838915072460275,0.0359555639201952
10,0.00426512312904319,0.00642858231623941,0.50710388761349
11,0.100791769827283,0.00843662030874855,6.38996026716192e-32
12,0.00232540645298168,0.00733120394512985,0.751127258051018
