topic,gender_effect,gender_se,gender_p
1,0.00792235226766723,0.0059123799284818,0.180396684759257
2,0.0391294320614399,0.0119670326694082,0.00109294979725554
3,0.00812639994111091,0.00677242456151373,0.230297702969975
4,0.0383719046374287,0.0129386447968321,0.00305261691912675
5,0.0577353090344414,0.011884659889846,1.2694877246215e-06
6,-0.00181356806751283,0.00864736277583483,0.833901730540963
7,0.0530294871392507,0.0105784388537511,5.78708827536499e-07
8,-0.0239564817984325,0.0101658133193725,0.0185316219144108
9,-0.0946447861635036,0.00993926742642604,4.28876925293216e-21
10,-0.103884855182911,0.00978615943455276,1.04432524192368e-25
11,0.0198528489025257,0.00570288731169477,0.000508913804282651
