topic,gender_effect,gender_se,gender_p
1,-0.0714863099358948,0.00948545352043455,7.01369769655151e-14
2,0.0402660214615063,0.00757216762340099,1.15757246616646e-07
3,-0.0712274394827952,0.00846958355424329,7.27728086445113e-17
4,0.0960538725061435,0.00860342846309208,3.42153265492369e-28
5,0.00446144406373214,0.00892548121502148,0.617227331768994
6,0.0205922730430818,0.00968067986378303,0.0335184100280214
7,-0.0186252580393624,0.00813466467369213,0.0221378404440961
8,-0.0649853267278936,0.0100943639339343,1.48356549780308e-10
9,-0.0207695937485299,0.00922547129197988,0.0244628209769844
10,-0.0285912312661639,0.00809774574856449,0.000422876066630552
11,0.0118278931600581,0.00743944045781421,0.112003182767123
12,0.102470816000182,0.0105710207651925,8.69483002660374e-22
